County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,,,,2,4,1,,5,3,,1,1,17
Allen,,,,3,4,3,2,1,3,2,2,,20
Ashland,,1,3,2,1,4,,2,1,2,3,,19
Ashtabula,,,,,2,,2,3,1,1,,,9
Athens,,,1,4,,2,,1,,,2,,10
Auglaize,,,,,,1,4,1,,4,2,,12
Belmont,,,1,1,1,3,1,5,5,2,,1,20
Brown,,,,,,1,,,,,1,,2
Butler,1,2,2,8,5,7,2,3,3,5,6,2,46
Carroll,,,,,1,1,,,1,,,,3
Champaign,,,,,1,1,,,1,1,,,4
Clark,,,,1,,,,,1,3,3,,8
Clermont,,,,2,1,5,2,3,3,4,1,1,22
Clinton,,,,,1,2,,,1,3,,,7
Columbiana,,,1,1,4,3,2,4,4,2,4,2,27
Coshocton,,,,,,1,1,1,1,1,,,5
Crawford,,,1,1,2,4,,1,,,1,,10
Cuyahoga,5,5,12,16,39,32,26,31,25,23,8,4,226
Darke,,,1,5,5,3,2,2,3,4,1,,26
Defiance,,,1,1,,2,1,1,2,1,2,,11
Delaware,4,1,3,8,5,8,7,11,11,8,3,2,71
Erie,,,,,,4,3,4,5,1,2,1,20
Fairfield,,,,1,3,3,,6,1,2,1,1,18
Franklin,3,6,9,31,27,27,19,24,19,33,13,8,219
Fulton,1,,,1,1,1,2,3,2,4,1,,16
Geauga,,,,1,1,2,1,,1,1,2,,9
Greene,,1,2,5,12,7,3,6,3,1,3,3,46
Guernsey,,,,1,4,1,,1,,1,1,1,10
Hamilton,3,2,8,19,15,11,7,13,20,19,12,3,132
Hancock,,,,4,4,5,1,2,1,5,4,1,27
Hardin,1,,,1,1,2,2,1,,,,,8
Harrison,,,,,,,,,1,,,,1
Henry,,,,,1,1,1,2,1,2,1,,9
Highland,,,,,,,1,1,1,1,,,4
Hocking,,,,,,1,,1,2,,1,,5
Holmes,,,,,1,2,1,1,3,1,1,1,11
Huron,,,,1,2,,1,3,,2,1,,10
Jefferson,,,1,,,,1,,,1,,,3
Knox,,,1,1,3,,1,1,2,,1,,10
Lake,,2,2,2,7,6,4,12,7,9,2,1,54
Lawrence,,,1,,,,,1,1,,,,3
Licking,,3,,4,2,4,1,4,5,2,2,,27
Logan,,,,1,1,2,2,2,1,,3,,12
Lorain,,,,4,7,8,8,6,3,4,5,,45
Lucas,,,4,9,13,11,4,12,10,15,10,3,91
Madison,,,,1,1,3,,,3,1,,,9
Mahoning,,,2,2,7,4,4,2,9,10,,1,41
Marion,,,,2,3,2,1,1,1,1,,,11
Mayes,,,,,,,,,1,1,,,2
Medina,,,1,3,4,4,1,2,6,3,2,,26
Meigs,,,,,,,1,,,,1,,2
Mercer,,,1,,1,2,3,2,1,1,2,,13
Miami,2,2,3,4,9,6,7,6,8,6,1,1,55
Monroe,,,,,,,2,,,,,,2
Montgomery,5,6,6,16,19,20,16,14,22,22,6,6,158
Morrow,,,,2,2,,,1,1,,1,,7
Muskingum,,,,2,,3,2,2,3,2,1,,15
Noble,,,,1,,,,,,,,,1
Ottawa,,,,1,1,6,2,3,1,3,1,,18
Paulding,,,,1,,,,,,1,,,2
Perry,,,,,,,,,,1,,,1
Pickaway,1,,,1,2,1,1,2,,1,,,9
Pike,,,,2,2,,1,1,1,,,,7
Portage,,,,5,4,5,6,5,5,4,2,1,37
Preble,,,,1,1,,1,1,,2,,,6
Putnam,,,2,,1,,,1,1,2,,1,8
Richland,,2,2,4,3,4,6,5,4,3,1,1,35
Ross,,,2,3,1,1,4,1,1,2,2,,17
Sandusky,,,,3,1,3,1,,4,6,1,,19
Scioto,,1,,,4,2,,3,1,1,1,1,14
Seneca,,,,2,1,1,2,1,1,3,1,,12
Shelby,1,,,2,1,4,3,2,4,2,1,,20
Stark,,,4,5,12,6,7,6,3,9,4,1,57
Summit,3,3,4,9,15,10,7,17,11,20,13,6,118
Trumbull,,,,1,2,2,3,5,2,2,,1,18
Tuscarawas,,,1,2,1,,2,2,1,3,1,,13
Union,,,1,2,,2,1,3,2,,1,,12
Van Wert,,,,,1,1,,,,,,,2
Vinton,,,,1,,,,,,1,,,2
Warren,,5,1,5,9,9,8,10,5,13,5,1,71
Washington,1,,,,2,1,,,,2,1,,7
Wayne,,,,1,5,4,3,4,2,1,2,,22
Williams,,,,,1,1,2,,,2,1,,7
Wood,1,2,1,2,2,2,2,3,1,7,1,1,25
Wyandot,,,,,,,,1,,,,1,2
Total,32,44,85,227,299,291,214,287,263,308,159,59,2268
