State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,27,46,91,108,94,53,33,51,63,96,76,35,773
Alaska,5,5,10,10,29,32,33,45,20,14,8,9,220
Arizona,38,56,87,70,62,28,28,30,52,88,96,46,681
Arkansas,8,8,25,56,56,27,12,23,41,62,38,15,371
California,149,162,253,290,342,243,204,229,286,398,319,158,3033
Colorado,29,24,32,91,141,144,121,159,148,114,64,29,1096
Connecticut,10,12,44,62,111,98,77,75,97,122,62,18,788
Delaware,6,7,24,44,47,32,18,26,39,56,21,7,327
District of Columbia,3,5,12,13,23,9,3,4,21,30,17,6,146
Florida,195,274,287,302,259,103,99,101,181,352,322,232,2707
Georgia,82,116,253,271,262,130,82,139,203,307,207,128,2180
Hawaii,16,6,21,13,18,14,13,16,20,20,19,11,187
Idaho,5,6,12,24,30,25,36,34,43,36,17,6,274
Illinois,29,27,75,160,243,193,147,144,297,272,132,44,1763
Indiana,16,23,55,123,140,148,135,136,162,159,95,40,1232
Iowa,10,7,22,53,73,84,68,90,87,82,42,12,630
Kansas,7,20,30,61,68,61,47,59,80,83,41,19,576
Kentucky,13,14,43,58,77,63,35,59,86,102,57,21,628
Louisiana,14,31,54,51,57,32,21,31,47,76,61,42,517
Maine,6,7,12,35,73,75,62,75,76,55,30,8,514
Maryland,19,16,59,128,147,86,57,66,130,161,119,48,1036
Massachusetts,61,47,75,142,281,189,137,139,228,262,152,64,1777
Michigan,40,47,64,125,226,223,204,197,236,235,116,56,1769
Minnesota,32,26,32,77,162,183,153,185,187,120,39,25,1221
Mississippi,17,17,35,51,41,19,14,17,22,46,31,14,324
Missouri,17,28,82,116,137,88,73,77,135,140,112,37,1042
Montana,3,3,9,22,42,31,36,36,32,40,13,3,270
Nebraska,7,10,17,45,32,64,42,37,48,57,21,10,390
Nevada,7,18,28,32,29,15,15,16,28,46,31,15,280
New Hampshire,11,14,18,28,63,50,37,47,78,60,48,6,460
New Jersey,21,20,45,119,205,165,86,81,191,266,104,38,1341
New Mexico,9,16,14,27,27,23,17,29,33,32,32,7,266
New York,43,54,78,174,270,253,200,239,303,320,152,67,2153
North Carolina,42,60,198,260,287,145,82,129,221,294,221,97,2036
North Dakota,1,3,3,8,11,25,17,19,19,14,4,2,126
Ohio,32,44,85,226,300,291,214,287,263,308,159,59,2268
Oklahoma,11,15,36,36,47,40,27,36,60,60,41,15,424
Oregon,24,36,43,62,133,109,102,100,115,103,52,34,913
Pennsylvania,30,40,122,327,370,276,175,203,361,488,212,71,2675
Rhode Island,3,2,11,28,29,29,22,29,32,34,19,4,242
South Carolina,33,44,78,97,107,37,32,38,55,79,76,36,712
South Dakota,1,2,3,11,18,26,16,19,24,11,6,1,138
Tennessee,31,30,85,110,138,73,59,79,117,177,114,48,1061
Texas,131,157,274,405,341,159,153,130,296,412,360,192,3010
Utah,10,18,39,59,86,69,54,80,81,80,39,12,627
Vermont,5,4,6,8,44,40,46,38,36,48,21,4,300
Virginia,46,38,96,193,204,110,72,83,141,231,154,66,1434
Washington,40,37,72,101,124,120,133,115,134,109,74,45,1104
West Virginia,5,1,11,22,34,18,21,32,23,54,20,7,248
Wisconsin,40,40,55,78,190,200,173,177,197,173,104,37,1464
Wyoming,2,1,5,7,23,28,21,23,14,10,7,,141
Total,1442,1744,3220,5019,6353,4778,3764,4309,5889,6994,4377,2006,49895
